booking_id,room_id,customer_id,check_in,check_out,actual_check_out,final_price,status,payment_status,notes,created_at,updated_at
B0023,R005,155,2025-02-07,2025-02-12,,9192670.0,completed,paid,,2025-02-07T10:00:00,2025-02-12T12:00:00
B0024,R012,32,2024-12-22,2024-12-25,,5589969.0,completed,paid,,2024-12-22T10:00:00,2024-12-25T12:00:00
B0025,R008,141,2024-06-27,2024-07-02,2024-07-01,6646430.0,completed,paid,,2024-06-27T10:00:00,2024-07-02T12:00:00
B0026,R005,101,2025-04-08,2025-04-09,,1180931.0,completed,paid,,2025-04-08T10:00:00,2025-04-09T12:00:00
B0027,R007,162,2025-04-23,2025-04-28,2025-04-29,7324975.0,completed,paid,,2025-04-23T10:00:00,2025-04-28T12:00:00
B0028,R020,200,2025-10-12,2025-10-14,,3195876.0,completed,paid,,2025-10-12T10:00:00,2025-10-14T12:00:00
B0029,R010,139,2025-04-12,2025-04-17,,6041560.0,completed,paid,,2025-04-12T10:00:00,2025-04-17T12:00:00
B0030,R012,156,2024-02-21,2024-02-22,,1690444.0,completed,paid,,2024-02-21T10:00:00,2024-02-22T12:00:00
B0031,R007,99,2024-09-15,2024-09-16,,708354.0,completed,paid,,2024-09-15T10:00:00,2024-09-16T12:00:00
B0032,R007,108,2025-03-14,2025-03-19,2025-03-20,6098005.0,completed,paid,,2025-03-14T10:00:00,2025-03-19T12:00:00
B0033,R016,48,2025-12-19,2025-12-21,,3363122.0,completed,paid,,2025-12-19T10:00:00,2025-12-21T12:00:00
B0034,R012,27,2024-12-20,2024-12-21,2024-12-22,891837.0,completed,paid,,2024-12-20T10:00:00,2024-12-21T12:00:00
B0035,R008,158,2025-03-08,2025-03-10,2025-03-09,3744244.0,completed,paid,,2025-03-08T10:00:00,2025-03-10T12:00:00
B0036,R017,133,2024-09-17,2024-09-22,,6813370.0,completed,paid,,2024-09-17T10:00:00,2024-09-22T12:00:00
B0037,R016,1,2025-10-04,2025-10-07,,3249774.0,canceled,unpaid,,2025-10-04T10:00:00,2025-10-07T12:00:00
B0038,R010,32,2024-09-08,2024-09-09,,1987316.0,completed,paid,,2024-09-08T10:00:00,2024-09-09T12:00:00
B0039,R014,40,2024-04-07,2024-04-08,,1924064.0,completed,paid,,2024-04-07T10:00:00,2024-04-08T12:00:00
B0040,R020,197,2024-08-26,2024-08-30,,7703140.0,completed,paid,,2024-08-26T10:00:00,2024-08-30T12:00:00
B0041,R002,93,2024-03-07,2024-03-12,,7323570.0,completed,paid,,2024-03-07T10:00:00,2024-03-12T12:00:00
B0042,R002,101,2025-08-01,2025-08-06,,4233415.0,canceled,unpaid,,2025-08-01T10:00:00,2025-08-06T12:00:00
B0043,R012,117,2025-04-11,2025-04-16,,4615630.0,completed,paid,,2025-04-11T10:00:00,2025-04-16T12:00:00
B0044,R018,63,2024-06-19,2024-06-22,,5275515.0,completed,paid,,2024-06-19T10:00:00,2024-06-22T12:00:00
B0045,R020,178,2024-04-19,2024-04-24,2024-04-23,3523190.0,completed,paid,,2024-04-19T10:00:00,2024-04-24T12:00:00
B0046,R014,113,2025-07-22,2025-07-23,2025-07-22,1728014.0,canceled,unpaid,,2025-07-22T10:00:00,2025-07-23T12:00:00
B0047,R003,21,2024-02-03,2024-02-05,2024-02-06,2260602.0,completed,paid,,2024-02-03T10:00:00,2024-02-05T12:00:00
B0048,R012,88,2025-06-27,2025-06-28,,1804766.0,completed,paid,,2025-06-27T10:00:00,2025-06-28T12:00:00
B0049,R011,144,2024-01-19,2024-01-23,,4497476.0,canceled,unpaid,,2024-01-19T10:00:00,2024-01-23T12:00:00
B0050,R005,9,2025-10-20,2025-10-24,,2899372.0,completed,paid,,2025-10-20T10:00:00,2025-10-24T12:00:00
B0051,R013,11,2024-02-16,2024-02-18,,1420240.0,completed,paid,,2024-02-16T10:00:00,2024-02-18T12:00:00
B0052,R017,86,2024-08-11,2024-08-13,,2302374.0,completed,paid,,2024-08-11T10:00:00,2024-08-13T12:00:00
B0053,R018,132,2025-07-04,2025-07-05,,1005968.0,canceled,unpaid,,2025-07-04T10:00:00,2025-07-05T12:00:00
B0054,R019,77,2024-12-16,2024-12-20,2024-12-19,7220244.0,canceled,unpaid,,2024-12-16T10:00:00,2024-12-20T12:00:00
B0055,R005,188,2024-06-05,2024-06-07,2024-06-08,3134804.0,completed,paid,,2024-06-05T10:00:00,2024-06-07T12:00:00
B0056,R017,198,2025-01-27,2025-01-30,,2649933.0,completed,paid,,2025-01-27T10:00:00,2025-01-30T12:00:00
B0057,R017,62,2025-05-19,2025-05-22,2025-05-23,2459850.0,completed,paid,,2025-05-19T10:00:00,2025-05-22T12:00:00
B0058,R019,48,2025-07-02,2025-07-04,2025-07-05,2208204.0,canceled,unpaid,,2025-07-02T10:00:00,2025-07-04T12:00:00
B0059,R009,178,2025-07-17,2025-07-18,,1024284.0,completed,paid,,2025-07-17T10:00:00,2025-07-18T12:00:00
B0060,R004,159,2024-05-17,2024-05-18,,707900.0,completed,paid,,2024-05-17T10:00:00,2024-05-18T12:00:00
B0061,R014,83,2025-05-20,2025-05-23,,5669415.0,completed,paid,,2025-05-20T10:00:00,2025-05-23T12:00:00
B0062,R009,120,2025-08-13,2025-08-15,2025-08-14,1391838.0,completed,paid,,2025-08-13T10:00:00,2025-08-15T12:00:00
B0063,R011,36,2025-12-26,2025-12-29,,1542612.0,canceled,unpaid,,2025-12-26T10:00:00,2025-12-29T12:00:00
B0064,R012,123,2024-09-15,2024-09-20,2024-09-19,9300615.0,completed,paid,,2024-09-15T10:00:00,2024-09-20T12:00:00
B0065,R005,182,2024-12-14,2024-12-16,,2722944.0,completed,paid,,2024-12-14T10:00:00,2024-12-16T12:00:00
B0066,R001,165,2025-03-27,2025-04-01,,6979535.0,completed,paid,,2025-03-27T10:00:00,2025-04-01T12:00:00
B0067,R014,36,2025-06-12,2025-06-13,,610878.0,completed,paid,,2025-06-12T10:00:00,2025-06-13T12:00:00
B0068,R012,78,2025-01-15,2025-01-18,,1743162.0,completed,paid,,2025-01-15T10:00:00,2025-01-18T12:00:00
B0069,R018,20,2025-12-13,2025-12-17,,7089244.0,completed,paid,,2025-12-13T10:00:00,2025-12-17T12:00:00
B0070,R013,60,2024-06-09,2024-06-13,,3010344.0,completed,paid,,2024-06-09T10:00:00,2024-06-13T12:00:00
B0071,R011,169,2025-12-09,2025-12-14,,3555480.0,completed,paid,,2025-12-09T10:00:00,2025-12-14T12:00:00
B0072,R017,179,2024-08-18,2024-08-21,2024-08-22,2129136.0,completed,paid,,2024-08-18T10:00:00,2024-08-21T12:00:00
B0073,R001,17,2024-05-20,2024-05-21,2024-05-22,1766383.0,completed,paid,,2024-05-20T10:00:00,2024-05-21T12:00:00
B0074,R009,58,2024-04-28,2024-05-03,2024-05-02,7943830.0,completed,paid,,2024-04-28T10:00:00,2024-05-03T12:00:00
B0075,R017,109,2025-03-04,2025-03-08,,5689228.0,completed,paid,,2025-03-04T10:00:00,2025-03-08T12:00:00
B0076,R001,52,2025-09-22,2025-09-23,,1678617.0,canceled,unpaid,,2025-09-22T10:00:00,2025-09-23T12:00:00
B0077,R018,192,2024-09-12,2024-09-15,,3542172.0,completed,paid,,2024-09-12T10:00:00,2024-09-15T12:00:00
B0078,R009,125,2024-05-03,2024-05-05,,3677532.0,canceled,unpaid,,2024-05-03T10:00:00,2024-05-05T12:00:00
B0079,R014,28,2025-05-06,2025-05-08,,1144598.0,completed,paid,,2025-05-06T10:00:00,2025-05-08T12:00:00
B0080,R020,30,2024-05-26,2024-05-31,,6784335.0,completed,paid,,2024-05-26T10:00:00,2024-05-31T12:00:00
B0081,R001,13,2025-12-07,2025-12-08,,1014259.0,canceled,unpaid,,2025-12-07T10:00:00,2025-12-08T12:00:00
B0082,R011,137,2025-05-12,2025-05-14,,3006532.0,completed,paid,,2025-05-12T10:00:00,2025-05-14T12:00:00
B0083,R010,165,2025-09-25,2025-09-27,,2122416.0,completed,paid,,2025-09-25T10:00:00,2025-09-27T12:00:00
B0084,R001,146,2025-06-04,2025-06-08,,6545536.0,completed,paid,,2025-06-04T10:00:00,2025-06-08T12:00:00
B0085,R018,36,2024-02-29,2024-03-03,2024-03-02,2550852.0,completed,paid,,2024-02-29T10:00:00,2024-03-03T12:00:00
B0086,R004,57,2025-06-21,2025-06-25,,4375864.0,completed,paid,,2025-06-21T10:00:00,2025-06-25T12:00:00
B0087,R007,109,2025-12-05,2025-12-08,2025-12-07,3419124.0,completed,paid,,2025-12-05T10:00:00,2025-12-08T12:00:00
B0088,R016,153,2025-09-20,2025-09-24,,4367308.0,completed,paid,,2025-09-20T10:00:00,2025-09-24T12:00:00
B0089,R009,19,2024-08-08,2024-08-09,2024-08-10,1080511.0,completed,paid,,2024-08-08T10:00:00,2024-08-09T12:00:00
B0090,R011,36,2025-10-22,2025-10-26,2025-10-25,6077024.0,completed,paid,,2025-10-22T10:00:00,2025-10-26T12:00:00
B0091,R005,83,2025-02-07,2025-02-10,,4512510.0,completed,paid,,2025-02-07T10:00:00,2025-02-10T12:00:00
B0092,R014,38,2025-12-20,2025-12-25,,3566255.0,completed,paid,,2025-12-20T10:00:00,2025-12-25T12:00:00
B0093,R020,172,2025-03-27,2025-03-30,2025-03-31,3287607.0,completed,paid,,2025-03-27T10:00:00,2025-03-30T12:00:00
B0094,R009,123,2025-06-02,2025-06-03,2025-06-02,1950543.0,canceled,unpaid,,2025-06-02T10:00:00,2025-06-03T12:00:00
B0095,R020,54,2024-02-09,2024-02-10,,817617.0,completed,paid,,2024-02-09T10:00:00,2024-02-10T12:00:00
B0096,R002,49,2025-03-23,2025-03-25,2025-03-26,1242244.0,completed,paid,,2025-03-23T10:00:00,2025-03-25T12:00:00
B0097,R013,13,2025-10-23,2025-10-26,,5399301.0,completed,paid,,2025-10-23T10:00:00,2025-10-26T12:00:00
B0098,R015,188,2025-05-24,2025-05-27,,4577049.0,completed,paid,,2025-05-24T10:00:00,2025-05-27T12:00:00
B0099,R001,163,2024-01-06,2024-01-10,2024-01-09,5507332.0,completed,paid,,2024-01-06T10:00:00,2024-01-10T12:00:00
B0100,R010,176,2024-02-02,2024-02-04,,1501474.0,canceled,unpaid,,2024-02-02T10:00:00,2024-02-04T12:00:00
B0101,R004,115,2025-06-12,2025-06-14,2025-06-13,2727122.0,completed,paid,,2025-06-12T10:00:00,2025-06-14T12:00:00
B0102,R010,41,2024-08-23,2024-08-25,2024-08-24,2628368.0,completed,paid,,2024-08-23T10:00:00,2024-08-25T12:00:00
B0103,R010,159,2024-02-14,2024-02-19,,2736240.0,completed,paid,,2024-02-14T10:00:00,2024-02-19T12:00:00
B0104,R007,52,2025-06-15,2025-06-17,2025-06-16,3368330.0,completed,paid,,2025-06-15T10:00:00,2025-06-17T12:00:00
B0105,R016,96,2024-08-27,2024-08-30,,4380366.0,completed,paid,,2024-08-27T10:00:00,2024-08-30T12:00:00
B0106,R013,45,2024-09-11,2024-09-15,,7139208.0,completed,paid,,2024-09-11T10:00:00,2024-09-15T12:00:00
B0107,R018,120,2025-04-10,2025-04-12,,3879748.0,completed,paid,,2025-04-10T10:00:00,2025-04-12T12:00:00
B0108,R011,23,2025-03-01,2025-03-05,,4333644.0,completed,paid,,2025-03-01T10:00:00,2025-03-05T12:00:00
B0109,R004,132,2025-02-02,2025-02-07,,9119915.0,completed,paid,,2025-02-02T10:00:00,2025-02-07T12:00:00
B0110,R011,95,2024-09-01,2024-09-04,,5668230.0,completed,paid,,2024-09-01T10:00:00,2024-09-04T12:00:00
B0111,R019,112,2024-05-25,2024-05-30,,8802690.0,canceled,unpaid,,2024-05-25T10:00:00,2024-05-30T12:00:00
B0112,R015,27,2024-08-07,2024-08-12,,4247080.0,completed,paid,,2024-08-07T10:00:00,2024-08-12T12:00:00
B0113,R012,64,2025-10-31,2025-11-04,2025-11-03,3389260.0,canceled,unpaid,,2025-10-31T10:00:00,2025-11-04T12:00:00
B0114,R007,196,2025-07-27,2025-08-01,,8450755.0,canceled,unpaid,,2025-07-27T10:00:00,2025-08-01T12:00:00
B0115,R011,25,2025-08-26,2025-08-30,2025-08-31,3848432.0,completed,paid,,2025-08-26T10:00:00,2025-08-30T12:00:00
B0116,R008,50,2024-11-09,2024-11-12,2024-11-13,2324109.0,completed,paid,,2024-11-09T10:00:00,2024-11-12T12:00:00
B0117,R018,51,2024-06-16,2024-06-17,,776860.0,completed,paid,,2024-06-16T10:00:00,2024-06-17T12:00:00
B0118,R017,59,2024-04-11,2024-04-15,2024-04-14,7540676.0,completed,paid,,2024-04-11T10:00:00,2024-04-15T12:00:00
B0119,R019,143,2025-01-06,2025-01-08,,2164322.0,completed,paid,,2025-01-06T10:00:00,2025-01-08T12:00:00
B0120,R009,143,2024-06-27,2024-07-02,,7187680.0,completed,paid,,2024-06-27T10:00:00,2024-07-02T12:00:00
B0121,R017,123,2024-06-09,2024-06-14,,9421255.0,completed,paid,,2024-06-09T10:00:00,2024-06-14T12:00:00
B0122,R017,178,2024-09-04,2024-09-07,,5387451.0,completed,paid,,2024-09-04T10:00:00,2024-09-07T12:00:00
B0123,R008,193,2024-05-02,2024-05-05,,5298321.0,completed,paid,,2024-05-02T10:00:00,2024-05-05T12:00:00
B0124,R010,192,2024-09-26,2024-09-28,,1048576.0,completed,paid,,2024-09-26T10:00:00,2024-09-28T12:00:00
B0125,R001,119,2025-01-02,2025-01-04,,2668078.0,completed,paid,,2025-01-02T10:00:00,2025-01-04T12:00:00
B0126,R005,130,2024-06-12,2024-06-16,,5533176.0,completed,paid,,2024-06-12T10:00:00,2024-06-16T12:00:00
B0127,R013,117,2024-02-01,2024-02-05,,7896152.0,completed,paid,,2024-02-01T10:00:00,2024-02-05T12:00:00
B0128,R001,117,2024-06-01,2024-06-05,,3880276.0,completed,paid,,2024-06-01T10:00:00,2024-06-05T12:00:00
B0129,R005,19,2024-01-26,2024-01-31,,8890185.0,completed,paid,,2024-01-26T10:00:00,2024-01-31T12:00:00
B0130,R001,137,2025-06-19,2025-06-23,,3550300.0,completed,paid,,2025-06-19T10:00:00,2025-06-23T12:00:00
B0131,R002,41,2024-03-14,2024-03-17,,3750378.0,completed,paid,,2024-03-14T10:00:00,2024-03-17T12:00:00
B0132,R016,52,2025-04-04,2025-04-09,,4377005.0,completed,paid,,2025-04-04T10:00:00,2025-04-09T12:00:00
B0133,R013,41,2024-11-25,2024-11-28,,5952303.0,canceled,unpaid,,2024-11-25T10:00:00,2024-11-28T12:00:00
B0134,R005,192,2024-04-15,2024-04-17,,2755766.0,completed,paid,,2024-04-15T10:00:00,2024-04-17T12:00:00
B0135,R005,18,2024-08-17,2024-08-22,,5003520.0,canceled,unpaid,,2024-08-17T10:00:00,2024-08-22T12:00:00
B0136,R009,167,2025-06-14,2025-06-19,,6744545.0,completed,paid,,2025-06-14T10:00:00,2025-06-19T12:00:00
B0137,R003,86,2024-12-22,2024-12-26,2024-12-27,2914156.0,completed,paid,,2024-12-22T10:00:00,2024-12-26T12:00:00
B0138,R013,178,2025-11-28,2025-11-29,,1983941.0,completed,paid,,2025-11-28T10:00:00,2025-11-29T12:00:00
B0139,R011,15,2024-04-29,2024-05-03,,3669936.0,completed,paid,,2024-04-29T10:00:00,2024-05-03T12:00:00
B0140,R018,92,2024-05-06,2024-05-07,,590017.0,canceled,unpaid,,2024-05-06T10:00:00,2024-05-07T12:00:00
B0141,R015,146,2024-11-24,2024-11-25,,768024.0,completed,paid,,2024-11-24T10:00:00,2024-11-25T12:00:00
B0142,R006,141,2025-07-25,2025-07-30,2025-07-31,8047990.0,completed,paid,,2025-07-25T10:00:00,2025-07-30T12:00:00
B0143,R004,106,2024-03-31,2024-04-03,,2338641.0,completed,paid,,2024-03-31T10:00:00,2024-04-03T12:00:00
B0144,R004,111,2024-09-19,2024-09-24,2024-09-25,2872815.0,completed,paid,,2024-09-19T10:00:00,2024-09-24T12:00:00
B0145,R005,158,2025-04-12,2025-04-16,2025-04-17,6766520.0,canceled,unpaid,,2025-04-12T10:00:00,2025-04-16T12:00:00
B0146,R002,52,2025-03-09,2025-03-14,,8857070.0,canceled,unpaid,,2025-03-09T10:00:00,2025-03-14T12:00:00
B0147,R006,112,2024-08-09,2024-08-12,2024-08-13,4618608.0,completed,paid,,2024-08-09T10:00:00,2024-08-12T12:00:00
B0148,R005,59,2024-01-18,2024-01-22,,4326288.0,completed,paid,,2024-01-18T10:00:00,2024-01-22T12:00:00
B0149,R005,138,2025-05-01,2025-05-03,,1185100.0,completed,paid,,2025-05-01T10:00:00,2025-05-03T12:00:00
B0150,R003,22,2024-01-27,2024-01-28,,1631017.0,canceled,unpaid,,2024-01-27T10:00:00,2024-01-28T12:00:00
B0151,R006,173,2025-12-14,2025-12-15,,824094.0,completed,paid,,2025-12-14T10:00:00,2025-12-15T12:00:00
B0152,R011,171,2024-06-15,2024-06-19,,3281292.0,completed,paid,,2024-06-15T10:00:00,2024-06-19T12:00:00
B0153,R009,191,2024-11-03,2024-11-07,2024-11-08,2001696.0,completed,paid,,2024-11-03T10:00:00,2024-11-07T12:00:00
B0154,R011,123,2024-06-01,2024-06-05,,2005248.0,completed,paid,,2024-06-01T10:00:00,2024-06-05T12:00:00
B0155,R013,23,2025-03-19,2025-03-22,,5708532.0,completed,paid,,2025-03-19T10:00:00,2025-03-22T12:00:00
B0156,R006,130,2024-09-27,2024-09-28,,998076.0,canceled,unpaid,,2024-09-27T10:00:00,2024-09-28T12:00:00
B0157,R006,85,2025-03-21,2025-03-26,2025-03-27,7109475.0,completed,paid,,2025-03-21T10:00:00,2025-03-26T12:00:00
B0158,R009,52,2024-04-15,2024-04-17,,1833582.0,completed,paid,,2024-04-15T10:00:00,2024-04-17T12:00:00
B0159,R013,151,2024-05-14,2024-05-18,2024-05-17,5045192.0,completed,paid,,2024-05-14T10:00:00,2024-05-18T12:00:00
B0160,R015,173,2024-07-25,2024-07-27,,3175156.0,completed,paid,,2024-07-25T10:00:00,2024-07-27T12:00:00
B0161,R010,120,2024-01-09,2024-01-11,,1507720.0,completed,paid,,2024-01-09T10:00:00,2024-01-11T12:00:00
B0162,R005,86,2024-05-17,2024-05-22,,7862095.0,completed,paid,,2024-05-17T10:00:00,2024-05-22T12:00:00
B0163,R006,16,2024-03-11,2024-03-14,,3549195.0,canceled,unpaid,,2024-03-11T10:00:00,2024-03-14T12:00:00
B0164,R006,27,2025-11-29,2025-12-03,,3837364.0,completed,paid,,2025-11-29T10:00:00,2025-12-03T12:00:00
B0165,R011,168,2025-05-05,2025-05-09,,7968680.0,completed,paid,,2025-05-05T10:00:00,2025-05-09T12:00:00
B0166,R016,62,2025-01-29,2025-02-02,2025-02-03,6492776.0,completed,paid,,2025-01-29T10:00:00,2025-02-02T12:00:00
B0167,R002,19,2025-01-11,2025-01-12,,1023015.0,completed,paid,,2025-01-11T10:00:00,2025-01-12T12:00:00
B0168,R003,110,2025-12-22,2025-12-27,,6640700.0,completed,paid,,2025-12-22T10:00:00,2025-12-27T12:00:00
B0169,R009,84,2024-03-09,2024-03-10,,1669774.0,completed,paid,,2024-03-09T10:00:00,2024-03-10T12:00:00
B0170,R011,162,2025-02-18,2025-02-21,,1759305.0,completed,paid,,2025-02-18T10:00:00,2025-02-21T12:00:00
B0171,R010,132,2025-06-16,2025-06-17,2025-06-16,1630839.0,completed,paid,,2025-06-16T10:00:00,2025-06-17T12:00:00
B0172,R014,166,2025-09-21,2025-09-26,,2904135.0,completed,paid,,2025-09-21T10:00:00,2025-09-26T12:00:00
B0173,R011,93,2024-05-25,2024-05-28,,5056476.0,completed,paid,,2024-05-25T10:00:00,2024-05-28T12:00:00
B0174,R018,11,2024-09-09,2024-09-12,2024-09-13,3017481.0,completed,paid,,2024-09-09T10:00:00,2024-09-12T12:00:00
B0175,R010,119,2024-08-26,2024-08-31,,6147255.0,completed,paid,,2024-08-26T10:00:00,2024-08-31T12:00:00
B0176,R002,64,2024-10-24,2024-10-29,,9403450.0,completed,paid,,2024-10-24T10:00:00,2024-10-29T12:00:00
B0177,R011,42,2024-02-23,2024-02-24,,948921.0,completed,paid,,2024-02-23T10:00:00,2024-02-24T12:00:00
B0178,R020,131,2025-02-05,2025-02-09,2025-02-10,6682612.0,completed,paid,,2025-02-05T10:00:00,2025-02-09T12:00:00
B0179,R012,195,2024-08-11,2024-08-15,2024-08-16,2747544.0,completed,paid,,2024-08-11T10:00:00,2024-08-15T12:00:00
B0180,R007,174,2025-02-23,2025-02-28,2025-03-01,7577635.0,canceled,unpaid,,2025-02-23T10:00:00,2025-02-28T12:00:00
B0181,R016,12,2024-11-08,2024-11-10,,3472244.0,completed,paid,,2024-11-08T10:00:00,2024-11-10T12:00:00
B0182,R007,87,2025-09-10,2025-09-13,,1790061.0,completed,paid,,2025-09-10T10:00:00,2025-09-13T12:00:00
B0183,R008,106,2024-05-15,2024-05-16,,1029411.0,completed,paid,,2024-05-15T10:00:00,2024-05-16T12:00:00
B0184,R016,95,2024-06-27,2024-06-29,,1521866.0,completed,paid,,2024-06-27T10:00:00,2024-06-29T12:00:00
B0185,R019,168,2025-11-22,2025-11-27,,8833125.0,completed,paid,,2025-11-22T10:00:00,2025-11-27T12:00:00
B0186,R014,182,2025-05-11,2025-05-15,2025-05-14,5040632.0,completed,paid,,2025-05-11T10:00:00,2025-05-15T12:00:00
B0187,R009,187,2024-08-28,2024-08-31,,3478956.0,canceled,unpaid,,2024-08-28T10:00:00,2024-08-31T12:00:00
B0188,R005,49,2024-01-05,2024-01-07,,3413462.0,completed,paid,,2024-01-05T10:00:00,2024-01-07T12:00:00
B0189,R001,2,2024-09-04,2024-09-05,,1751900.0,completed,paid,,2024-09-04T10:00:00,2024-09-05T12:00:00
B0190,R002,82,2024-03-10,2024-03-13,,3982368.0,completed,paid,,2024-03-10T10:00:00,2024-03-13T12:00:00
B0191,R014,84,2025-10-12,2025-10-15,2025-10-16,2038038.0,completed,paid,,2025-10-12T10:00:00,2025-10-15T12:00:00
B0192,R012,33,2025-07-14,2025-07-16,2025-07-15,2749966.0,completed,paid,,2025-07-14T10:00:00,2025-07-16T12:00:00
B0193,R020,32,2025-11-06,2025-11-07,2025-11-08,507529.0,completed,paid,,2025-11-06T10:00:00,2025-11-07T12:00:00
B0194,R004,13,2025-10-03,2025-10-08,,9744495.0,completed,paid,,2025-10-03T10:00:00,2025-10-08T12:00:00
B0195,R001,200,2025-09-17,2025-09-20,2025-09-19,5161059.0,completed,paid,,2025-09-17T10:00:00,2025-09-20T12:00:00
B0196,R020,93,2024-05-22,2024-05-23,,1988872.0,canceled,unpaid,,2024-05-22T10:00:00,2024-05-23T12:00:00
B0197,R003,8,2024-11-15,2024-11-20,,3679705.0,completed,paid,,2024-11-15T10:00:00,2024-11-20T12:00:00
B0198,R008,29,2024-09-10,2024-09-11,2024-09-12,1653499.0,completed,paid,,2024-09-10T10:00:00,2024-09-11T12:00:00
B0199,R004,53,2024-06-21,2024-06-22,,640332.0,canceled,unpaid,,2024-06-21T10:00:00,2024-06-22T12:00:00
B0200,R010,109,2025-06-03,2025-06-05,,3587260.0,completed,paid,,2025-06-03T10:00:00,2025-06-05T12:00:00
B0201,R017,154,2025-10-10,2025-10-15,,4426785.0,canceled,unpaid,,2025-10-10T10:00:00,2025-10-15T12:00:00
B0202,R019,30,2024-06-24,2024-06-29,2024-06-28,7681460.0,completed,paid,,2024-06-24T10:00:00,2024-06-29T12:00:00
B0203,R012,1,2025-03-10,2025-03-11,,1710020.0,completed,paid,,2025-03-10T10:00:00,2025-03-11T12:00:00
B0204,R011,86,2024-08-31,2024-09-03,,1674414.0,completed,paid,,2024-08-31T10:00:00,2024-09-03T12:00:00
B0205,R018,140,2025-04-01,2025-04-03,,1649616.0,completed,paid,,2025-04-01T10:00:00,2025-04-03T12:00:00
B0206,R019,68,2024-09-16,2024-09-19,,5375508.0,completed,paid,,2024-09-16T10:00:00,2024-09-19T12:00:00
B0207,R003,38,2025-04-05,2025-04-06,,1454129.0,completed,paid,,2025-04-05T10:00:00,2025-04-06T12:00:00
B0208,R020,30,2025-10-04,2025-10-05,,1398715.0,completed,paid,,2025-10-04T10:00:00,2025-10-05T12:00:00
B0209,R011,34,2024-08-31,2024-09-05,,3687765.0,completed,paid,,2024-08-31T10:00:00,2024-09-05T12:00:00
B0210,R001,161,2024-03-07,2024-03-09,2024-03-10,1248482.0,completed,paid,,2024-03-07T10:00:00,2024-03-09T12:00:00
B0211,R016,161,2024-11-22,2024-11-26,2024-11-25,6219940.0,completed,paid,,2024-11-22T10:00:00,2024-11-26T12:00:00
B0212,R007,29,2024-06-13,2024-06-18,,6357060.0,completed,paid,,2024-06-13T10:00:00,2024-06-18T12:00:00
B0213,R016,114,2024-11-25,2024-11-27,2024-11-26,3738598.0,completed,paid,,2024-11-25T10:00:00,2024-11-27T12:00:00
